ZIP CODE,Driver Inattention,Failure to Yield,Following Too Closely,Improper Lane Usage,Unsafe Lane Change,Unsafe Speed
10000.0,1135.0,109.0,929.0,205.0,144.0,77.0
10001.0,19411.0,3785.0,8797.0,6994.0,6658.0,748.0
10002.0,29037.0,4685.0,7274.0,3656.0,3194.0,1347.0
10003.0,15856.0,2326.0,3355.0,2522.0,1756.0,610.0
10004.0,2197.0,422.0,971.0,825.0,341.0,68.0
10005.0,875.0,326.0,213.0,317.0,104.0,61.0
10006.0,1693.0,304.0,549.0,367.0,339.0,105.0
10007.0,6276.0,994.0,2016.0,1469.0,595.0,186.0
10009.0,8876.0,1030.0,1622.0,1161.0,475.0,329.0
10010.0,13521.0,2000.0,4084.0,3151.0,1698.0,540.0
10011.0,9393.0,3497.0,7382.0,6207.0,4387.0,644.0
10012.0,15918.0,1980.0,2885.0,1941.0,1387.0,398.0
10013.0,25712.0,3188.0,4985.0,4872.0,3435.0,659.0
10014.0,5889.0,1337.0,2466.0,1549.0,1110.0,302.0
10016.0,38652.0,4007.0,5311.0,4843.0,3293.0,618.0
10017.0,21265.0,2069.0,2727.0,2606.0,2237.0,321.0
10018.0,14696.0,2738.0,4865.0,6060.0,4553.0,519.0
10019.0,30254.0,3619.0,6882.0,5511.0,4545.0,626.0
10020.0,1058.0,202.0,332.0,310.0,168.0,96.0
10021.0,9415.0,1379.0,1426.0,1091.0,1082.0,333.0
10022.0,33721.0,3584.0,5146.0,4183.0,3744.0,559.0
10023.0,10736.0,1691.0,2101.0,2565.0,1658.0,258.0
10024.0,7430.0,1523.0,1894.0,1788.0,1323.0,450.0
10025.0,6901.0,1350.0,1676.0,1293.0,1492.0,412.0
10026.0,8576.0,1116.0,934.0,1068.0,363.0,321.0
10027.0,13271.0,2338.0,3385.0,2543.0,1241.0,1029.0
10028.0,7602.0,693.0,1265.0,802.0,944.0,334.0
10029.0,15071.0,2667.0,5083.0,3269.0,3268.0,1281.0
10030.0,5695.0,869.0,796.0,532.0,377.0,325.0
10031.0,5945.0,898.0,1046.0,840.0,380.0,436.0
10032.0,9585.0,1533.0,1998.0,1276.0,851.0,924.0
10033.0,9236.0,2089.0,2436.0,1818.0,1089.0,1055.0
10034.0,8606.0,2145.0,1829.0,2125.0,990.0,1118.0
10035.0,10821.0,1713.0,3688.0,3150.0,2934.0,917.0
10036.0,20400.0,3600.0,7043.0,6595.0,6426.0,739.0
10037.0,4200.0,554.0,934.0,729.0,710.0,345.0
10038.0,4265.0,791.0,946.0,805.0,336.0,83.0
10039.0,3862.0,387.0,648.0,420.0,282.0,292.0
10040.0,4456.0,836.0,521.0,1039.0,389.0,943.0
10041.0,43.0,12.0,6.0,12.0,6.0,
10044.0,10.0,,,,,
10045.0,20.0,,,,,
10055.0,15.0,,,,,
10065.0,16170.0,1548.0,2625.0,2067.0,1928.0,520.0
10069.0,346.0,61.0,20.0,70.0,,2.0
10075.0,5410.0,635.0,800.0,571.0,664.0,199.0
10103.0,47.0,16.0,,14.0,,
10105.0,38.0,8.0,16.0,8.0,20.0,
10106.0,8.0,3.0,,4.0,8.0,
10107.0,8.0,5.0,8.0,,5.0,
10110.0,50.0,,26.0,36.0,16.0,
10111.0,2.0,,12.0,4.0,,
10112.0,71.0,6.0,8.0,,16.0,
10115.0,28.0,10.0,,,,
10118.0,182.0,28.0,63.0,22.0,20.0,8.0
10119.0,389.0,14.0,127.0,69.0,84.0,4.0
10120.0,69.0,,8.0,,10.0,
10121.0,370.0,53.0,50.0,64.0,48.0,
10123.0,105.0,4.0,16.0,8.0,14.0,
10128.0,9784.0,1188.0,1866.0,952.0,1486.0,364.0
10151.0,8.0,,,8.0,,
10152.0,,8.0,18.0,16.0,,
10153.0,111.0,8.0,8.0,,16.0,
10154.0,32.0,,8.0,28.0,,
10155.0,62.0,8.0,,,14.0,3.0
10158.0,16.0,,,,,
10165.0,211.0,30.0,24.0,24.0,61.0,
10166.0,,,4.0,,,
10167.0,6.0,6.0,18.0,22.0,,
10168.0,649.0,87.0,78.0,79.0,66.0,8.0
10169.0,259.0,31.0,78.0,6.0,37.0,
10170.0,73.0,,8.0,14.0,,
10171.0,20.0,18.0,,,,
10172.0,344.0,31.0,162.0,98.0,116.0,
10173.0,8.0,8.0,16.0,,,
10174.0,40.0,,,8.0,,
10176.0,8.0,,,,,
10177.0,28.0,8.0,32.0,,16.0,
10178.0,48.0,,,,,
10179.0,8.0,8.0,,6.0,,
10271.0,24.0,3.0,14.0,8.0,8.0,8.0
10278.0,247.0,29.0,14.0,33.0,22.0,
10279.0,36.0,18.0,8.0,4.0,8.0,
10280.0,394.0,76.0,73.0,93.0,16.0,1.0
10281.0,83.0,12.0,47.0,40.0,16.0,
10282.0,258.0,41.0,53.0,57.0,26.0,6.0
10301.0,13562.0,1957.0,2727.0,986.0,403.0,687.0
10302.0,330.0,203.0,30.0,36.0,1.0,8.0
10303.0,4.0,,,2.0,,
10304.0,12990.0,3242.0,3286.0,1474.0,1049.0,1586.0
10305.0,10501.0,4106.0,4107.0,1201.0,807.0,832.0
10306.0,13417.0,7386.0,7468.0,2040.0,1528.0,1843.0
10307.0,1659.0,649.0,279.0,118.0,23.0,119.0
10308.0,4232.0,2491.0,1795.0,455.0,175.0,547.0
10309.0,5655.0,2454.0,1196.0,754.0,159.0,673.0
10310.0,8831.0,1180.0,1812.0,457.0,57.0,595.0
10312.0,10201.0,5099.0,3002.0,1325.0,644.0,1413.0
10314.0,4489.0,1148.0,1458.0,470.0,205.0,346.0
10451.0,16110.0,3892.0,5028.0,2673.0,2510.0,1685.0
10452.0,10240.0,3294.0,3949.0,2386.0,1623.0,2263.0
10453.0,10199.0,2061.0,3112.0,1482.0,939.0,1780.0
10454.0,11871.0,2269.0,3512.0,2317.0,1487.0,1241.0
10455.0,9622.0,2428.0,2958.0,1632.0,1018.0,1121.0
10456.0,12491.0,3425.0,3632.0,2669.0,1321.0,2156.0
10457.0,19866.0,4476.0,5639.0,3387.0,1307.0,2994.0
10458.0,18907.0,4560.0,6174.0,3797.0,2225.0,2671.0
10459.0,6506.0,2644.0,5326.0,2335.0,1560.0,1617.0
10460.0,18248.0,4299.0,5548.0,3024.0,1737.0,2341.0
10461.0,10458.0,3007.0,1955.0,1026.0,1031.0,1141.0
10462.0,12168.0,2799.0,2459.0,2028.0,1475.0,1960.0
10463.0,7139.0,2029.0,1798.0,1293.0,758.0,1562.0
10464.0,1204.0,320.0,293.0,167.0,68.0,131.0
10465.0,4187.0,1592.0,1785.0,780.0,803.0,930.0
10466.0,22042.0,6039.0,3950.0,2291.0,1724.0,5377.0
10467.0,19945.0,4853.0,4748.0,3525.0,2793.0,3396.0
10468.0,9982.0,2885.0,3573.0,2932.0,1905.0,2493.0
10469.0,21534.0,5652.0,2949.0,1798.0,1393.0,4173.0
10470.0,7124.0,1705.0,1623.0,755.0,829.0,1815.0
10471.0,2238.0,593.0,537.0,387.0,152.0,718.0
10472.0,9475.0,2698.0,3301.0,2793.0,1875.0,1745.0
10473.0,6968.0,1736.0,2445.0,1914.0,783.0,1603.0
10474.0,2811.0,1496.0,1310.0,771.0,329.0,747.0
10475.0,7156.0,1947.0,2077.0,1136.0,1166.0,1229.0
11001.0,496.0,418.0,72.0,90.0,,91.0
11004.0,3342.0,1640.0,512.0,244.0,92.0,414.0
11005.0,98.0,19.0,10.0,18.0,,18.0
11040.0,454.0,329.0,70.0,36.0,20.0,46.0
11101.0,47887.0,7535.0,5248.0,4099.0,1747.0,1639.0
11102.0,5821.0,1825.0,1416.0,897.0,289.0,430.0
11103.0,7287.0,2687.0,1529.0,1567.0,286.0,561.0
11104.0,9346.0,680.0,596.0,499.0,306.0,238.0
11105.0,5051.0,2236.0,788.0,716.0,68.0,454.0
11106.0,7877.0,3361.0,1278.0,1509.0,304.0,740.0
11109.0,449.0,,6.0,44.0,,4.0
11201.0,16818.0,5328.0,11909.0,8309.0,4711.0,1655.0
11203.0,25766.0,7204.0,5065.0,3035.0,1164.0,3734.0
11204.0,17329.0,5509.0,2276.0,1833.0,634.0,1175.0
11205.0,12400.0,2372.0,3667.0,2200.0,596.0,689.0
11206.0,20482.0,6549.0,5817.0,5390.0,891.0,2092.0
11207.0,34712.0,15254.0,11574.0,5390.0,3596.0,7172.0
11208.0,20539.0,9378.0,4542.0,2565.0,1123.0,3832.0
11209.0,7714.0,4814.0,3239.0,1607.0,941.0,1298.0
11210.0,16347.0,6097.0,3354.0,3785.0,951.0,1908.0
11211.0,19178.0,8222.0,7071.0,6135.0,927.0,1915.0
11212.0,20959.0,5675.0,4016.0,2618.0,1158.0,3943.0
11213.0,23442.0,2905.0,5281.0,2592.0,1347.0,1778.0
11214.0,22560.0,6031.0,3041.0,1548.0,771.0,1172.0
11215.0,19126.0,4141.0,4979.0,3563.0,1416.0,1412.0
11216.0,16561.0,1941.0,4502.0,2516.0,1588.0,1236.0
11217.0,19443.0,4867.0,7081.0,5481.0,2832.0,1246.0
11218.0,11714.0,2882.0,2403.0,1343.0,916.0,895.0
11219.0,13340.0,4748.0,2542.0,1284.0,829.0,670.0
11220.0,11289.0,5161.0,3642.0,2002.0,1245.0,1085.0
11221.0,18841.0,4969.0,4511.0,2856.0,621.0,2474.0
11222.0,7869.0,5661.0,4649.0,3640.0,776.0,925.0
11223.0,18846.0,6638.0,3177.0,1830.0,891.0,1563.0
11224.0,10496.0,1279.0,1264.0,775.0,434.0,484.0
11225.0,20330.0,2408.0,3840.0,2257.0,1135.0,1380.0
11226.0,23679.0,5254.0,5687.0,4590.0,1213.0,2269.0
11228.0,9952.0,4833.0,3165.0,1046.0,650.0,1005.0
11229.0,14585.0,5449.0,3306.0,2082.0,641.0,1439.0
11230.0,18512.0,4223.0,3925.0,3066.0,1016.0,1538.0
11231.0,5779.0,1254.0,1489.0,1229.0,684.0,597.0
11232.0,5857.0,1373.0,1371.0,1031.0,712.0,746.0
11233.0,22646.0,3573.0,5492.0,2390.0,1807.0,2675.0
11234.0,29032.0,13741.0,8059.0,4131.0,2847.0,4440.0
11235.0,21113.0,4961.0,3084.0,2129.0,1200.0,1617.0
11236.0,29749.0,12196.0,5517.0,3593.0,1941.0,5514.0
11237.0,10375.0,4756.0,2771.0,2513.0,251.0,1619.0
11238.0,15084.0,2520.0,4397.0,2184.0,911.0,968.0
11239.0,3408.0,940.0,708.0,666.0,129.0,423.0
11241.0,10.0,,,,,
11249.0,8200.0,3452.0,2699.0,2927.0,360.0,620.0
11251.0,8.0,6.0,,,,6.0
11354.0,2122.0,13976.0,8460.0,6303.0,1759.0,1166.0
11355.0,2119.0,13309.0,5923.0,4951.0,1396.0,1101.0
11356.0,656.0,4563.0,1517.0,1534.0,92.0,748.0
11357.0,1085.0,7334.0,2808.0,1508.0,310.0,965.0
11358.0,4559.0,8164.0,2721.0,1815.0,397.0,889.0
11359.0,,12.0,24.0,,,
11360.0,938.0,1578.0,836.0,674.0,43.0,227.0
11361.0,9992.0,4541.0,1753.0,1392.0,476.0,526.0
11362.0,5001.0,1430.0,962.0,515.0,261.0,396.0
11363.0,2846.0,832.0,1541.0,231.0,350.0,87.0
11364.0,6948.0,2267.0,1375.0,670.0,228.0,422.0
11365.0,7947.0,3492.0,1467.0,662.0,319.0,777.0
11366.0,6918.0,2390.0,1017.0,643.0,297.0,496.0
11367.0,13674.0,2625.0,2107.0,1095.0,637.0,764.0
11368.0,32268.0,5492.0,4752.0,2749.0,1166.0,1696.0
11369.0,15050.0,1836.0,1297.0,876.0,438.0,1188.0
11370.0,9487.0,1844.0,1621.0,1142.0,385.0,631.0
11372.0,22007.0,2459.0,2713.0,2219.0,604.0,699.0
11373.0,25598.0,6367.0,5158.0,3364.0,1629.0,1333.0
11374.0,6887.0,4170.0,3938.0,1918.0,1036.0,600.0
11375.0,11810.0,7081.0,5830.0,2940.0,996.0,890.0
11377.0,39037.0,4704.0,3809.0,2030.0,566.0,1313.0
11378.0,10363.0,4674.0,3680.0,1743.0,493.0,1141.0
11379.0,4582.0,3697.0,3171.0,1115.0,292.0,678.0
11385.0,15210.0,13321.0,8638.0,4376.0,1164.0,2903.0
11411.0,4420.0,3208.0,989.0,675.0,214.0,1032.0
11412.0,11225.0,4545.0,1648.0,1346.0,171.0,2720.0
11413.0,13678.0,5316.0,3571.0,2007.0,1440.0,2812.0
11414.0,6707.0,3155.0,3159.0,1407.0,865.0,969.0
11415.0,6930.0,1260.0,753.0,746.0,389.0,341.0
11416.0,9771.0,2900.0,1598.0,792.0,359.0,939.0
11417.0,12207.0,4486.0,4305.0,2751.0,1568.0,2060.0
11418.0,15222.0,2981.0,2675.0,2030.0,683.0,1001.0
11419.0,17350.0,5015.0,2376.0,2609.0,411.0,2361.0
11420.0,18950.0,9916.0,5836.0,4671.0,2821.0,3171.0
11421.0,12202.0,2318.0,2580.0,1085.0,349.0,890.0
11422.0,10444.0,5049.0,4490.0,1413.0,801.0,1679.0
11423.0,9306.0,3414.0,1948.0,1779.0,632.0,1876.0
11426.0,3404.0,1309.0,716.0,389.0,264.0,747.0
11427.0,4231.0,1890.0,1164.0,521.0,385.0,679.0
11428.0,3405.0,2164.0,731.0,340.0,397.0,608.0
11429.0,4982.0,3570.0,972.0,760.0,364.0,1236.0
11430.0,680.0,114.0,382.0,208.0,154.0,103.0
11432.0,22113.0,5211.0,4314.0,3285.0,1494.0,1620.0
11433.0,13153.0,4098.0,2728.0,2684.0,885.0,2578.0
11434.0,29660.0,7103.0,6488.0,3497.0,2395.0,3565.0
11435.0,18091.0,6081.0,3266.0,3259.0,1019.0,2210.0
11436.0,7611.0,2067.0,965.0,734.0,272.0,1593.0
11691.0,15023.0,3039.0,2758.0,1735.0,506.0,1322.0
11692.0,3448.0,758.0,962.0,380.0,56.0,397.0
11693.0,4041.0,548.0,1425.0,235.0,184.0,288.0
11694.0,4584.0,961.0,1009.0,259.0,135.0,191.0
11695.0,14.0,,8.0,,,
11697.0,352.0,39.0,21.0,,16.0,51.0
     ,15.0,,,,,
10000.0,12.0,9.0,25.0,26.0,20.0,8.0
10001,22.0,10.0,,,,1.0
10001.0,765.0,188.0,338.0,347.0,362.0,32.0
10002,99.0,29.0,,,,
10002.0,806.0,147.0,263.0,174.0,67.0,68.0
10003,24.0,8.0,,,,1.0
10003.0,650.0,97.0,159.0,89.0,60.0,11.0
10004,8.0,,,,,
10004.0,88.0,20.0,21.0,57.0,15.0,
10005,4.0,2.0,,,,
10005.0,19.0,6.0,16.0,9.0,,16.0
10006,3.0,1.0,,,,
10006.0,39.0,35.0,43.0,8.0,38.0,4.0
10007,14.0,10.0,,,,
